Input,Base Model Output,Fine-tuned Output,Match
I went to Kitchenette this weekend for brunch.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""brunch"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Kitchenette"",""polarity"":""neutral""}]}",False
"This place doesn't get the publicity that Sylvias Soul Food restaurant does, but it should.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Sylvias Soul Food restaurant"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Sylvias Soul Food restaurant"",""polarity"":""positive""},{""term"":""publicity"",""polarity"":""negative""}]}",False
Just because P Diddy had a party at Butter doesn't mean we should be automatically impressed.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""party"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""impressed"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""P Diddy's party"",""polarity"":""neutral""},{""term"":""Butter"",""polarity"":""negative""}]}",False
Even for two very hungry people there is plenty of food left to be taken home it reheats really well also.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""food"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""reheating"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""food quantity"",""polarity"":""positive""},{""term"":""reheating quality"",""polarity"":""positive""}]}",False
"Like I said, Nick and Joe's may not be everyone's favorite, but it's mine.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Nick and Joe's"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Nick and Joe's"",""polarity"":""neutral""}]}",False
The help was extremely nice and did not rush us.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""help"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""help"",""polarity"":""positive""}]}",False
"Then they somehow made a dry and burnt crust, around a raw and cold inside.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""crust"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""inside"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""crust"",""polarity"":""negative""},{""term"":""inside"",""polarity"":""negative""}]}",False
"It's just good food, nothing more and that's all we want!","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""food"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""food"",""polarity"":""positive""}]}",False
DON'T KNOW WHAT THE OTHERS ON THE BLOCK WERE LIKE BUT WE WERE PLEASED WITH OUR CHOICE.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""BLOCK"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""OTHERS ON THE BLOCK"",""polarity"":""neutral""},{""term"":""OUR CHOICE"",""polarity"":""positive""}]}",False
Average cake thats been courted by a LOT of hype.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""cake"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""cake"",""polarity"":""neutral""}]}",False
It's cute and simple and I loved it.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""cute"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""simple"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""loved","{""domain"":""general"",""aspects"":[{""term"":""It's cute"",""polarity"":""positive""},{""term"":""simple"",""polarity"":""positive""}]}",False
My wife and I recently visited the bistro for dinner and had a wonderful experience.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""bistro"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""dinner"",""polarity"":""positive""}]}",False
THE SERVICE IS PERFECT TOO NOTHING WRONG IN THIS ITALIANFRENCH RESTAURANT,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Italian-French restaurant"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""SERVICE"",""polarity"":""positive""}]}",False
My fiance and I recently wanted to see the city and deceided to take a dinner cruise.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""dinner cruise"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""dinner cruise"",""polarity"":""neutral""}]}",False
The 72 Delmonico steak had to be sent back because it was not cooked to order.,"```json
{
    ""domain"": ""restaurants"",
    ""aspects"": [
        {
            ""term"": ""steak"",
            ""polarity"": ""negative""
        }
    ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""72 Delmonico steak"",""polarity"":""negative""}]}",False
Everytime I go there I can't pick anything to eat and not because the menu is filled with great things to eat.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""menu"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""food quality"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""menu"",""polarity"":""negative""},{""term"":""food availability"",""polarity"":""negative""}]}",False
Half a chicken with a mountain of rice and beans for 6.25.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""chicken"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""rice"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""beans"",","{""domain"":""restaurants"",""aspects"":[{""term"":""Chicken"",""polarity"":""neutral""},{""term"":""Rice and beans"",""polarity"":""neutral""}]}",False
"The service is really fast and friendly, and the value is great.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""service"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""value"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""service"",""polarity"":""positive""},{""term"":""value"",""polarity"":""positive""}]}",False
We were very impressed with the food and value.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""food"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""value"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""food"",""polarity"":""positive""},{""term"":""value"",""polarity"":""positive""}]}",False
You must try the garlic soup!,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""garlic soup"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Garlic soup"",""polarity"":""positive""}]}",False
"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Falafel"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""Tabouleh"",
      ""polarity"": ""positive""
    },
    {
      ""term"":","{""domain"":""restaurants"",""aspects"":[{""term"":""Falafel"",""polarity"":""positive""},{""term"":""Tabouleh"",""polarity"":""positive""},{""term"":""Humus"",""polarity"":""positive""},{""term"":""Mediterranean delights"",""polarity"":""positive""},{""term"":""Inexpensive"",""polarity"":""positive""}]}",False
"Even after a few bad evenings at Bardolino, I keep coming back.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Bardolino"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Bardolino"",""polarity"":""negative""}]}",False
"The pizza's are made fresh, crispy, and ready to serve.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""pizza"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""pizza's"",""polarity"":""positive""}]}",False
"There are many french bistros in the midtown area, and I wholheartedly recommend this one.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""french bistro"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""French bistros"",""polarity"":""positive""},{""term"":""this one"",""polarity"":""positive""}]}",False
Staff is accomodating make sure you are satified.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""staff"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Staff"",""polarity"":""positive""}]}",False
Chef Waldy's always measures up.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Waldy"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Chef Waldy"",""polarity"":""positive""}]}",False
This diamond in the ruff is definitely worth my 10minute walk from the 6 train.,"```json
{
    ""domain"": ""restaurants"",
    ""aspects"": [
        {
            ""term"": ""diamond in the ruff"",
            ""polarity"": ""positive""
        },
        {
            ""term"": ""10minute walk"",
            ""polarity"": ""neutral""
        }
    ]
}","{""domain"":""general"",""aspects"":[{""term"":""diamond in the ruff"",""polarity"":""positive""}]}",False
"Being a vegan myself, I've made a point of trying all the vegan restaurants in Manhattanand Zen Palate is easily my favorite.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""vegan restaurants"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""Zen Palate"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Zen Palate"",""polarity"":""positive""}]}",False
Don Pedro's is one of my favorite restaurants.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Don Pedro's"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Don Pedro's"",""polarity"":""positive""}]}",False
Reasonably priced with very fresh sushi.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""sushi"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Price"",""polarity"":""positive""},{""term"":""Sushi freshness"",""polarity"":""positive""}]}",False
Go for the Seafood Paella for two.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Seafood Paella"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Seafood Paella"",""polarity"":""positive""}]}",False
All of the apetizers are good and the Sangria is very good.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""apetizers"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""Sangria"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""apetizers"",""polarity"":""positive""},{""term"":""Sangria"",""polarity"":""positive""}]}",False
Cantinetta is a real treasure in a see of mediocre Italian restaurants.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Cantinetta"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""Italian restaurants"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Cantinetta"",""polarity"":""positive""},{""term"":""Italian restaurants"",""polarity"":""negative""}]}",False
"The one positive thing I can say is that the service was prompt, we got seated right away and the server was very friendly.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""service"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""seating"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""server"",","{""domain"":""restaurants"",""aspects"":[{""term"":""service"",""polarity"":""positive""},{""term"":""seating"",""polarity"":""positive""},{""term"":""server"",""polarity"":""positive""}]}",False
The staff greeted me warmly at the door and I was seated promptly and the food was excellent.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""staff"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""seating"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""food"",","{""domain"":""restaurants"",""aspects"":[{""term"":""staff"",""polarity"":""positive""},{""term"":""seating"",""polarity"":""positive""},{""term"":""food"",""polarity"":""positive""}]}",False
Whether one pizza place is better than another is often very subjective.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""pizza place"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""pizza place"",""polarity"":""neutral""}]}",False
Really nice restaurant to go with a group or on a date.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""restaurant"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""restaurant"",""polarity"":""positive""}]}",False
Service is usually pretty good.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""service"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Service"",""polarity"":""positive""}]}",False
Host and Hostess was quite rude.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""host and hostess"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Host and Hostess"",""polarity"":""negative""}]}",False
You will not be missing anything.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""missing"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""anything you might want to know or experience"",""polarity"":""positive""}]}",False
I discovered Applebees when I went away to college in VA.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Applebees"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Applebees"",""polarity"":""neutral""}]}",False
"the wait staff is very friendly, if your not rude or picky.......our meal at Leon last weekend was great .","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""wait staff"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""meal"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""wait staff"",""polarity"":""positive""},{""term"":""meal"",""polarity"":""positive""}]}",False
I recommend any of their salmon dishes......,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""salmon dishes"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""salmon dishes"",""polarity"":""positive""}]}",False
The foie gras was sweet and luscious.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""foie gras"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""foie gras"",""polarity"":""positive""}]}",False
"The menu, which changes seasonally, shows both regional and international influences.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""menu"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""seasonal"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""regional","{""domain"":""restaurants"",""aspects"":[{""term"":""Menu"",""polarity"":""neutral""}]}",False
but their mac cheese was YUMMY!,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""mac cheese"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""mac cheese"",""polarity"":""positive""}]}",False
their brunch menu had something for everyone.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""brunch menu"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""brunch menu"",""polarity"":""positive""}]}",False
jazz singer had a nice voice  she made us all get up to dance to shake some cals to eat some more.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""voice"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""dance"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""calories"",","{""domain"":""general"",""aspects"":[{""term"":""Jazz singer"",""polarity"":""positive""},{""term"":""Voice"",""polarity"":""positive""},{""term"":""Dance"",""polarity"":""neutral""},{""term"":""Calories"",""polarity"":""negative""}]}",False
"I often find myself with time to kill in Times Square, which is a shame since I don't love this area.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""time to kill"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""Times Square"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Time Square"",""polarity"":""negative""}]}",False
They have very quick service which is great when you don't have much time.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""service"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""service"",""polarity"":""positive""}]}",False
"The food is average breakfast food, soups, salads, sandwiches, etc.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""food"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""breakfast"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""sou","{""domain"":""restaurants"",""aspects"":[{""term"":""food"",""polarity"":""neutral""},{""term"":""breakfast food"",""polarity"":""neutral""},{""term"":""soups"",""polarity"":""neutral""},{""term"":""salads"",""polarity"":""neutral""},{""term"":""sandwiches"",""polarity"":""neutral""}]}",False
I WAS HIGHLY DISAPPOINTED BY THE FOOD.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""food"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Food"",""polarity"":""negative""}]}",False
"THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""banana pudding"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""crabcakes"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""","{""domain"":""restaurants"",""aspects"":[{""term"":""Banana pudding"",""polarity"":""negative""},{""term"":""Crab cakes"",""polarity"":""negative""},{""term"":""Mac and cheese"",""polarity"":""negative""}]}",False
"The staff is arrogant, the prices are way high for Brooklyn.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""staff"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""prices"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""staff"",""polarity"":""negative""},{""term"":""prices"",""polarity"":""negative""}]}",False
This place is average... at best.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""place"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""This place"",""polarity"":""neutral""}]}",False
the service is prompt friendly.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""service"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Service"",""polarity"":""positive""}]}",False
Whatever the reason it is definitely the place to be.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""whatever"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""the place"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""place"",""polarity"":""positive""}]}",False
This is literally a hot spot when it comes to the food.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""food"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""food"",""polarity"":""positive""}]}",False
The downstairs bar scene is very cool and chill...,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""downstairs bar scene"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""downstairs bar scene"",""polarity"":""positive""}]}",False
"The food was definitely good, but when all was said and done, I just couldn't justify it for the price including 2 drinks, 100person...","```json
{
    ""domain"": ""restaurants"",
    ""aspects"": [
        {
            ""term"": ""food"",
            ""polarity"": ""positive""
        },
        {
            ""term"": ""price"",
            ""polarity"": ""negative""
        }
    ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""food"",""polarity"":""positive""},{""term"":""price"",""polarity"":""negative""}]}",False
I've come here for casual lunches as well as for a friend's birthday and I always enjoy myself.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""lunches"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""birthday"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""casual lunches"",""polarity"":""positive""},{""term"":""birthday"",""polarity"":""positive""}]}",False
If you are a Tequila fan you will not be disappointed.,"```json
{
  ""domain"": ""movies"",
  ""aspects"": [
    {
      ""term"": ""Tequila"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Tequila"",""polarity"":""positive""}]}",False
"Great beer selection too, something like 50 beers.","```json
{
    ""domain"": ""restaurants"",
    ""aspects"": [
        {
            ""term"": ""beer selection"",
            ""polarity"": ""positive""
        }
    ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""beer selection"",""polarity"":""positive""}]}",False
"After reading the great reviews, I invited a diehard downtown friend of mine to join me at TASTE.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""TASTE"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""reviews"",""polarity"":""positive""},{""term"":""TASTE"",""polarity"":""neutral""}]}",False
Not to sound too negative but be wary of the delivary.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""delivery"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""delivery"",""polarity"":""negative""}]}",False
Feels like family when we go there.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""family"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Feels like family"",""polarity"":""positive""}]}",False
"I found the food to be just as good as its owner, Da Silvano, just much less expensive.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""food"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""owner"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""food"",""polarity"":""positive""},{""term"":""price"",""polarity"":""negative""}]}",False
They have homemade pastas of all kinds  I recommend the gnocchi  yum!,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""pastas"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""gnocchi"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""homemade pastas"",""polarity"":""positive""},{""term"":""gnocchi"",""polarity"":""positive""}]}",False
"My vegetable risotto was burnt, and infused totally in a burnt flavor.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""vegetable risotto"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""flavor"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""vegetable risotto"",""polarity"":""negative""}]}",False
What a pleasant surprise!,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""pleasant surprise"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""What a pleasant surprise!"",""polarity"":""positive""}]}",False
The main draw of this place is the price.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""price"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Price"",""polarity"":""positive""}]}",False
How can hope to stay in business with service like this?,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""business"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""service"",""polarity"":""negative""}]}",False
"But dinner here is never disappointing, even if the prices are a bit over the top.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""dinner"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""prices"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Dinner"",""polarity"":""positive""},{""term"":""Prices"",""polarity"":""negative""}]}",False
"Not only did they have amazing, sandwiches, soup, pizza etc, but their homemade sorbets are out of this world!","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""sandwiches"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""soup"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""pizza","{""domain"":""restaurants"",""aspects"":[{""term"":""sandwiches"",""polarity"":""positive""},{""term"":""soup"",""polarity"":""positive""},{""term"":""pizza"",""polarity"":""positive""},{""term"":""homemade sorbets"",""polarity"":""positive""}]}",False
"the homemade Guacamole, the unbelievable entree, and thee most amazing deserts.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Guacamole"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""entree"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""","{""domain"":""restaurants"",""aspects"":[{""term"":""Homemade Guacamole"",""polarity"":""positive""},{""term"":""Unbelievable Entree"",""polarity"":""positive""},{""term"":""Most Amazing Deserts"",""polarity"":""positive""}]}",False
The sushi is reasonably priced and fresh.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""sushi"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""sushi price"",""polarity"":""positive""},{""term"":""sushi freshness"",""polarity"":""positive""}]}",False
"It's nofuss, fast and delicious.","```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""fast"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""delicious"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""nuff fuss"",""polarity"":""positive""},{""term"":""fast"",""polarity"":""positive""},{""term"":""delicious"",""polarity"":""positive""}]}",False
Save room for deserts  they're to die for.,"```json
{
    ""domain"": ""restaurants"",
    ""aspects"": [
        {
            ""term"": ""deserts"",
            ""polarity"": ""positive""
        }
    ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Deserts"",""polarity"":""positive""}]}",False
Best things to order are from the grill Churrasco and Ribs.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""Churrasco"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""Ribs"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""Churrasco"",""polarity"":""positive""},{""term"":""Ribs"",""polarity"":""positive""}]}",False
